NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,437.89652565774713
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,433.4553706313101
b38a03232f43b11c9d0788abaf060f7366053b6d,583.3107416342973
,539.0607640500104
715494628a50142ce8cb17191cfe6d0f3cae0934,464.04147236047083
e656d6bad65c93fb2880f1eba5037008c8e75774,538.1564166017755
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,437.97431434240997
11539e86171bf07d3a36f09377d7f54ebcc8406a,473.37249251655504
043c544a2104aa8a9849f1a703a08d37a2f16839,466.88242369239254
76ba050e64ad100b856f0eaabd8f539d5c7dd185,453.44849226656675
,571.5525844236081
,531.179526972144
940aede382ccb332fab15d413217695ec44ca765,466.45706557926115
9ad714b116da76d878dd399d187fccc2dd13dd63,387.05918372687796
dd34464a4d780b12a089347ad580418ac57a3055,432.6666964037872
f837a4cb05a5fd59d20138182f5e8c721eadd584,497.93061819168537
,637.0275013832686
,428.77449322251675
,585.6290611539245
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,392.00931342624267
3d203727f27abd83b71732d88d8cb1cc099f363b,456.00347724873126
,407.2872283997513
,564.276821808926
cbc301183dec912f3513ca766bf03dd565f3a38f,506.81997004278264
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,545.4817636176398
11282da1ee78c8db45a041db4c744e33df489df0,489.42921029373184
03c67f683a415c2ea09b582248bd4cb08528c19d,461.41853325500426
046e844fb06a07ba30b41521f0065a8d9c6e5024,434.7995232558257
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,454.4291519507112
,609.2384950841744
,492.0393314887367
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,429.38079612475997
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,516.5592310693405
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,458.8481060184756
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,439.58603885732543
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,512.5064212318789
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,494.613051137887
59bfa081e020013410d9f60f91813964ba749bb2,484.8154922331455
f5e069ee3bc95998464e8ff5da048b7f999921ed,456.650267642618
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,445.57052192122416
664f44258212a1f7e4086f2b4845d586c543fa3f,574.383142120699
265cd7befa74a9f2a198fc57baec9858075f8419,494.5696066761319
6f9ac44919bbd204e0ef15185388fd2d4bc61253,496.32352458771567
78de1ee60b55766cc3eba4089e36c57139b66ebd,485.326425830547
,406.86579013512204
1e61a474acdc043eb39a89c17fab34bd2ea1a940,441.6802753424893
940af68ded6af2875708611051aa7ff3f134d80b,419.7902981552375
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,449.16641406549235
c76ddf6e9f80984e901b12f9462a3cf029bea290,478.69608570455944
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,548.010375398823
,578.4637033419206
,426.46522392168134
92823d467a2ced9529801e0e8a94802dd88f0c17,470.5559054351879
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,603.5845511018176
413cbb38b2e2522f8167ffb9daeac1347b281393,489.97762536186553
68985fad004092956a4b4ce94dd53dc76d07eaf7,561.0271038134513
bdca9aeb19521675af15f2c28d86f6bebc45a834,479.9334798207898
b65b19d42b7a4b644fe9f99366dcb37b120862d9,402.47521348277127
eda898aa8ec465cbac70de72ead0c6d688e5f95a,509.08950422883885
,476.36509308537876
8d5c4481d736f6ce27976e400f4245bf10757608,439.6698632238447
,474.9782343969768
,386.3004167102504
,423.60695005697534
,541.3493320185377
c4cea54435c0fd0e171eed4c215479bb3ca86113,437.2343639842169
7d5cd89c6112b9a202a025a24355135bc60848c6,418.57149092714525
b70ab62384aa80545928a311f5b5d3db2f4d87ee,487.18014845569803
c96431dd924f366d2229a7f1455388b8cd85be49,506.57342179448864
,409.78348550707784
,510.85561069280834
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,423.6244549315336
e724482370ae6126008ade80b564ad8d8a0a7cbd,414.46366555663684
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,448.7469345954239
,543.3313498056859
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,438.72300614087794
7f898f8939ae054359f83ee154bb91bc7dd2c959,472.39872707061653
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,484.816881402168
82e3b12c6366008fabc238f299f117074e78de5d,475.1320977206214
0d838be0e718ceb786cdb10fcc12559e00440240,417.0619374705626
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,404.3284135257729
,697.1154657287965
c83fe640ba466ba904ac1055e53a875289888797,394.86804222200647
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,506.8818381532848
